name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/2687514,UBOLT,X 115275mm Y -9950mm Z 29900mm,X 115275mm Y -9950mm Z 29900mm,X 115275mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,115255+-9989+29843.7+115295+-9911+29930.1,,,
 =21945/2687546,UBOLT,X 116525mm Y -9950mm Z 29900mm,X 116525mm Y -9950mm Z 29900mm,X 116525mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,116505+-9989+29843.7+116545+-9911+29930.1,,,
 =21945/2582699,TUBI,X 118336mm Y -9950mm Z 29900mm,X 117260mm Y -9950mm Z 29900mm,X 119412mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,5.4398,117260.1+-9966.7+29883.3+119411.9+-9933.3+29916.7,,,A312_TP304L
 =21945/2687511,UBOLT,X 117965mm Y -9950mm Z 29900mm,X 117965mm Y -9950mm Z 29900mm,X 117965mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,117945+-9989+29843.7+117985+-9911+29930.1,,,
 =21945/2687512,UBOLT,X 118925mm Y -9950mm Z 29900mm,X 118925mm Y -9950mm Z 29900mm,X 118925mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,118905+-10009.5+29845.7+118945+-9890.5+29928.8,,,
 =54713/110538,ELBO,X 119450mm Y -9950mm Z 29900mm,X 119412mm Y -9950mm Z 29900mm,X 119450mm Y -9988mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000  -1.000,X 119439mm Y -9961mm Z 29900mm,,0,0,,0.15,119411.9+-9988.1+29883.2+119466.8+-9933.2+29916.8,,,A312_TP304L
 =30137/1702740,TUBI,X 119450mm Y -10184mm Z 29900mm,X 119450mm Y -9988mm Z 29900mm,X 119450mm Y -10380mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.9907,119433.3+-10380+29883.3+119466.7+-9988.1+29916.7,,,A312_TP304L
 =21945/2687547,UBOLT,X 119450mm Y -10275mm Z 29900mm,X 119450mm Y -10275mm Z 29900mm,X 119450mm Y -10275mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,119390.5+-10295+29845.7+119509.5+-10255+29928.8,,,
 =87481/714,TUBI,X 119450mm Y -10555mm Z 29900mm,X 119450mm Y -10380mm Z 29900mm,X 119450mm Y -10730mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.8848,119433.3+-10730+29883.3+119466.7+-10380+29916.7,,,A312_TP304L
 =21945/2582718,TUBI,X 111080mm Y -7036mm Z 30890mm,X 111080mm Y -7036mm Z 30778mm,X 111080mm Y -7036mm Z 31002mm,X7-512-25A_005/B2,33.4,3.38,   0.000  -1.000   0.000,,,0,0,,0.5658,111063.3+-7052.9+30778.1+111096.7+-7019.5+31001.9,,,A312_TP304L
 =21945/820163,ELBO,X 111080mm Y -7036mm Z 31040mm,X 111118mm Y -7036mm Z 31040mm,X 111080mm Y -7036mm Z 31002mm,X7-512-25A_005/B2,33.4,3.38,   0.000  -1.000   0.000,X 111091mm Y -7036mm Z 31029mm,,0,0,,0.15,111063.2+-7053+31001.9+111118.1+-7019.4+31056.8,,,A312_TP304L
 =30137/1702773,TUBI,X 113079mm Y -7036mm Z 31040mm,X 111118mm Y -7036mm Z 31040mm,X 115040mm Y -7036mm Z 31040mm,X7-512-25A_005/B2,33.4,3.38,   0.000   0.000   1.000,,,0,0,,9.9136,111118.1+-7052.9+31023.3+115039.6+-7019.5+31056.7,,,A312_TP304L
 =21945/2687590,UBOLT,X 111280mm Y -7036mm Z 31040mm,X 111280mm Y -7036mm Z 31040mm,X 111280mm Y -7036mm Z 31040mm,X7-512-25A_005/B2,0,0,   0.000   0.000  -1.000,,,0,0,3,0.3512,111260+-7075.2+31009.9+111300+-6997.2+31096.3,,,
 =21945/2687591,UBOLT,X 113065mm Y -7036mm Z 31040mm,X 113065mm Y -7036mm Z 31040mm,X 113065mm Y -7036mm Z 31040mm,X7-512-25A_005/B2,0,0,   0.000   0.000  -1.000,,,0,0,3,0.3512,113045+-7075.2+31009.9+113085+-6997.2+31096.3,,,
 =21945/2687592,UBOLT,X 114910mm Y -7036mm Z 31040mm,X 114910mm Y -7036mm Z 31040mm,X 114910mm Y -7036mm Z 31040mm,X7-512-25A_005/B2,0,0,   0.000   0.000  -1.000,,,0,0,3,0.3512,114890+-7075.2+31009.9+114930+-6997.2+31096.3,,,
 =21945/820161,ELBO,X 115078mm Y -7036mm Z 31040mm,X 115078mm Y -6998mm Z 31040mm,X 115040mm Y -7036mm Z 31040mm,X7-512-25A_005/B2,33.4,3.38,   0.000   0.000  -1.000,X 115067mm Y -7025mm Z 31040mm,,0,0,,0.15,115039.6+-7053+31023.2+115094.5+-6998.1+31056.8,,,A312_TP304L
 =21945/2582721,TUBI,X 115078mm Y -6823mm Z 31040mm,X 115078mm Y -6998mm Z 31040mm,X 115078mm Y -6648mm Z 31040mm,X7-512-25A_005/B2,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.8848,115061+-6998.1+31023.3+115094.4+-6648.1+31056.7,,,A312_TP304L
 =21945/819607,ELBO,X 115078mm Y -6610mm Z 31040mm,X 115078mm Y -6610mm Z 31078mm,X 115078mm Y -6648mm Z 31040mm,X7-512-25A_005/B2,33.4,3.38,  -1.000   0.000   0.000,X 115078mm Y -6621mm Z 31051mm,,0,0,,0.15,115060.9+-6648.1+31023.2+115094.5+-6593.2+31078.1,,,A312_TP304L
